If you watched,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5,Recommendation 6,Recommendation 7,Recommendation 8,Recommendation 9,Recommendation 10
Android - The dark side of Jack and Jill,Exploring Java's Hidden Costs,What the JIT!? Anatomy of the OpenJDK HotSpot VM,Java 8 Streams - A Deeper Approach About Performance Improvement,What 2 Years of Android Development Have Taught Me the Hard Way - Thought's by Aritra Roy,"What's new in Android: the N-Release, Virtual Reality, Android Studio 2.2 and more | Android Developers Blog",Android Studio 2.2,Novidades do Android Studio 2.2,Java 8 Best Practices Cheat Sheet,Test and deploy to Google App Engine with the new Maven and Gradle plugins,Tom Brady: Business Guru. Who Knew?
Corporate venture growth in Brazil is another sign of a mature tech ecosystem,Tech in Brazil is booming despite the country's political troubles,Latin America's chronic inefficiency could drive more O2O commerce growth,Meet the new Brazilian consumer,Workplace diversity in Brazil: there's still a long way to go,Brazilian Government and Ericsson to innovate together for Internet of Things,"Dilma Rousseff's Impeachment Isn't a Coup, It's a Cover-Up",State of the Digital Nation 2016,Prototyping across borders - From Tulsa to Brazil - +Acumen,Pinterest's Real-World Pins Let In-Store Shoppers Save Real Items to Virtual Boards,"For Blockchain VCs, the Time for Ethereum Investments Has Come - CoinDesk"
Saúde entra na era da indústria 4.0 | EXAME.com,Tecnologia transforma gestão na área de saúde | EXAME.com,Dr. consulta: uma revolução no setor da saúde,IoT a favor do relacionamento médico-paciente,Transformação digital na Saúde: 3 pilares que devem ser reinventados - Saúde Business,Como a tecnologia está mudando o atendimento hospitalar,Fusão de startups cria uma das maiores de tecnologia em saúde do Brasil,A saga do jovem CEO da Dasa,Especialistas trazem tendências de UX para 2017 - KingHost,Dicas para aumentar produtividade: 14 dicas incríveis.,Onde a tecnologia e o cuidado se encontram? - Saúde Business
Onde a tecnologia e o cuidado se encontram? - Saúde Business,Tecnologia transforma gestão na área de saúde | EXAME.com,Transformação digital na Saúde: 3 pilares que devem ser reinventados - Saúde Business,Principais startups do ramo de saúde criam o 1o Cluster de Saúde Digital do Brasil | EXAME.com,Como a tecnologia está mudando o atendimento hospitalar,Saúde de homens gays e bi é foco de nova campanha do governo,IoT a favor do relacionamento médico-paciente,"SulAmérica continua investindo, apesar da crise - Sonho Seguro",Dr. consulta: uma revolução no setor da saúde,A saga do jovem CEO da Dasa,"Conheça as ferramentas digitais que utilizo na minha empresa para resolver problemas, tornar o..."
"Claudia Sender, 41 | UOL Economia",TAM recebe primeira aeronave com o design e pintura da LATAM e avança na implantação da nova marca!,Dicas para aumentar produtividade: 14 dicas incríveis.,A saga do jovem CEO da Dasa,"Por dentro do Nubank, conheça os segredos da fintech mais festejada do país",Olhando para o futuro: 5 pontos de atenção,Especialistas trazem tendências de UX para 2017 - KingHost,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,OKR e meta: minha experiência no Runrun.it,O que é benchmarking? Veja quando um concorrente se torna inspiração!,"7 dicas, macetes e apps que uso para organizar o meu dia e ser mais produtivo no trabalho"
"Microservices Reference Architecture, Part 4 -12‑Factor App",Microservices: Real Architectural Patterns,Using Microservices Architecture as API Enablement Strategy,Standing on the Shoulders of Giants - Built to Adapt,Microservices Architecture on Google App Engine,Creating a scalable API with microservices,Taking Microservices Home - NGINX,Building Spring Cloud Microservices That Strangle Legacy Systems,Java Microservices: The Cake is a Lie but You Can't Ignore It | Takipi Blog,Microservices testing,Code reuse in microservices architecture - with Spring Boot
Elasticsearch: CSV exporter for Kibana Discover,Elastic Stack 5.0.0 Released,"Practical advice for analysis of large, complex data sets",A Data Engineer's Guide To Non-Traditional Data Storages,Introducing Casting into Hangouts,15 Awesome Sublime Text Plugins For Web Development,Optimizing Elasticsearch Searches,Doing Data Science Right - Your Most Common Questions Answered,Chrome OS now has Material Design for the desktop,Expanding our IDE support with a new Eclipse plugin for App Engine,"Chrome 52 Beta: CSS containment, simpler performance measurement, streamable responses from service workers, and more options for web push"
Google's Cloud Investments are Finally Starting to Pay Off,This year's Founders' Letter,Google I/O 2016 Preview: A Chrome/Android merger? Project Tango? VR?,Google Cloud Platform: The smart person's guide - TechRepublic,Diane Greene wants to put the enterprise front and center of Google Cloud strategy,"Google I/O 2016 preview: Android N, Android VR, Project Chirp, Play Store on Chromebooks and more!","Google admits original enterprise cloud strategy was wrong, why it's gone in a different direction - TechRepublic",Google I/O 2016: Android's failure to innovate hands a Apple free run at WWDC,How the queen of Silicon Valley is helping Google go after Amazon's most profitable business,Google's Cloud Machine Learning service is now in public beta,8 things to expect from Google's biggest event of the year
How Netflix does A/B Testing - uxdesign.cc - User Experience Design,How Netflix does A/B Testing - uxdesign.cc - User Experience Design,How Netflix does A/B testing - InVision Blog,Why Netflix thinks its personalized recommendation engine is worth $1 billion per year,7 Mistakes Most Beginners Make When A/B Testing,"Netflix says Geography, Age, and Gender are ""Garbage"" for Predicting Taste",Why 5 is the magic number for UX usability testing,How to overcome UX challenges with product design sprints,How to write a hypothesis,Standing on the Shoulders of Giants - Built to Adapt,Time to Re-Think Design Thinking
Two Different Sales Motions . . . .,The sales secrets of high-growth companies,A new sales technology stack is coming,Google lags behind Amazon and Microsoft's cloud in one important area,How do you sell SaaS software to enterprise businesses?,So you want to sell to banks?,How SaaS is bringing B2B marketplaces back,Using Google Analytics with Leadfeeder for B2B Lead Generation,The Rise of the API-based SaaS,Six iconic retailers and their digital transformation journeys,Transforming life insurance with design thinking
Nubank é considerada uma das marcas mais revolucionárias do mundo,1% das empresas dominam 94% das receitas na App Store,A inovação que todos queriam: fone de ouvido que traduz outras línguas,25 Coisas que Você Devia Começar a Fazer Agora que Tem 25 anos,Olhando para o futuro: 5 pontos de atenção,Como o Pokémon Go ajuda a explicar por que o Brasil é um país pobre,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,Vídeos motivacionais: os 21 vídeos mais incríveis.,"Por dentro do Nubank, conheça os segredos da fintech mais festejada do país",Startups matam. E suas vítimas são as empresas que ainda não entendem o que é a Economia do Acesso,Especial: 5 startups brasileiras que podem tornar-se Unicórnios
How to send better push notifications - the complete guide to push notifications - Growth Bug - App World,Designing smart notifications,The Most Important Push Notification metric - Growth Bug - App World,Startup aims to use machine learning to make mobile notifications good,The End Of Apps As We Know Them - Inside Intercom,Stay focused with Google Calendar event notifications in your browser,Bots won't replace apps. Better apps will replace apps.,"Chrome 52 Beta: CSS containment, simpler performance measurement, streamable responses from service workers, and more options for web push",The Business Case for Progressive Web Apps,The Ultimate Digital Clean-Up Checklist: Are You Prepared For The New Year? - Smashing Magazine,"Twitter killed Magic Recs, the only useful bot there is"
The Most Important Push Notification metric - Growth Bug - App World,How to send better push notifications - the complete guide to push notifications - Growth Bug - App World,Cookies vs Tokens: The Definitive Guide,What Is a Good Retention Rate for Online Software,Gold Backed Digix Raises Millions in Hours on Ethereum Blockchain Crowdsale,"So, You Want A Table, Huh?",Designing smart notifications,Supercharge Java Auth with JSON Web Tokens (JWTs) | Baeldung,"Chrome 52 Beta: CSS containment, simpler performance measurement, streamable responses from service workers, and more options for web push",The End Of Apps As We Know Them - Inside Intercom,Building a Facebook Chat Bot with Node and Heroku
The future of the shopping mall,Platforms are the real powerhouses in Silicon Valley's business landscape,The future of traditional retail is digital,Six iconic retailers and their digital transformation journeys,Building a digital-banking business,Linking the customer experience to value,Using analytics to turbocharge China's e-commerce performance,The surprising truth about which countries lead in digital,NOW NEW NEXT: How growth champions create new value,Meet the new Brazilian consumer,Portal Abrasce - Conhecendo o frequentador de shopping center
New South & Central America Trend Briefing from TrendWatching | PROTECTIVE TECH,LATIN INNOVATION BONANZA | New South & Central America Trend Briefing from TrendWatching,New Trend Briefing from TrendWatching | RECONCILIATION BRANDS,Bitcoin In The Time Of Negative Interest Rates,Brazil's Bank Itaú Joins R3 Blockchain Consortium - CoinDesk,The Drive to Bank on Digital,Microsoft and Bank of America Merrill Lynch Collaborate to Transform Trade Finance Transacting With Azure Blockchain as a Service,New Africa Trend Briefing from TrendWatching | BETTER TECH,Latin America's chronic inefficiency could drive more O2O commerce growth,1º Congresso Brasileiro de IoT - Embarcados,Game On: 5 Global Mobile Gaming Trends
10 Modern Software Over-Engineering Mistakes,What 2 Years of Android Development Have Taught Me the Hard Way - Thought's by Aritra Roy,What to look for in a code review ,On DRY and the cost of wrongful abstractions,Writing good code: how to reduce the cognitive load of your code,Microservices: Real Architectural Patterns,Taking Microservices Home - NGINX,Code reuse in microservices architecture - with Spring Boot,Leveling Up Your JavaScript -,Seniority,Learning How to Learn: The Most Important Developer Skill - Free Code Camp
Dicas para aumentar produtividade: 14 dicas incríveis.,7 motivos para você acordar às 5 da manhã - Tudo Pela Arte,Como o Pokémon Go ajuda a explicar por que o Brasil é um país pobre,A corrida como aliada da produtividade - Runner's World Brasil,Cinco competências comportamentais para você ser um bom líder,Vídeos motivacionais: os 21 vídeos mais incríveis.,OKR e meta: minha experiência no Runrun.it,Séries com lições sobre empreendedorismo: As 7 melhores!,Quando o Scrum irá falhar - Tableless,Fazer coisas acontecerem: Os 3 Mindsets que te ajudarão,O que é benchmarking? Veja quando um concorrente se torna inspiração!
Programação Reativa Funcional com RxJava,"Explorando o novo .NET multiplataforma: ASP.NET Core, .NET Core e EF Core",Refactoring to Patterns em Java 8,"Trabalhando com dinheiro no Java, uma visão pragmática da nova money-api",TEDxSãoPaulo,Evento em São Paulo traz grandes players do mercado mobile e desafio para startups - Startupi,"Desenvolvendo Android, por onde começar? - Android Dev BR",[Books] Biblioteca FIXE: Sugestões de Leitura,MOBILE TIME - Nascem os primeiros chatbots brasileiros,Confira as novidades apresentadas no Google I/O 2016,A saga do jovem CEO da Dasa
You don't talk about refactoring club,One weird trick that will change the way you code forever: JavaScript TDD,Dark Scrum,Do you want Crappy Agile?,Understanding User Psychology: Thinking Like a Game Designer,Build Quality In: The Key to Continuous Delivery in Kanban,Microservices testing,Preventing Software Bugs from Ever Occurring - Quality Functions,Preventing Software Bugs from Ever Occurring - Quality Functions,Preventing Software Bugs from Ever Occurring - Quality Functions,Preventing Software Bugs from Ever Occurring - Quality Functions
The Netflix Tech Blog: Distributed Resource Scheduling with Apache Mesos,The incestuous relations among containers orchestration tools,Algorithms and architecture for job recommendations,Centrally manage all your Google Cloud resources with Cloud Resource Manager,Automation and anxiety,Microservices: Real Architectural Patterns,Creating a scalable API with microservices,AWS Certified Solutions Architect Professional – Study Guide – Domain 8.0: Cloud Migration and Hybrid Architecture (10%),"Microservices Reference Architecture, Part 4 -12‑Factor App","Netflix OSS, Spring Cloud, or Kubernetes? How About All of Them!",Using Microservices Architecture as API Enablement Strategy
SwiftCoders by Garric Nahapetian on iTunes,Apple makes it easier to for developers to upload app screenshots via iTunes Connect,Apple Releases First Preview of Swift 3.0 for Developers,Google may be considering Swift for use on Android,Swift Top 10 Articles For The Past Year (v.2017),C# vs. Swift - Iron Man vs. Captain America,Benchmarks for the Top Server-Side Swift Frameworks vs. Node.js,Top 100 Best Blogs for iOS Developers to Learn and Gain Insights,Serious Business: Is The Sharing Economy Good For Business?,"macOS Sierra software update for Mac rolling out now, here's everything new",Adulterated Objective-C
The Business Case for Progressive Web Apps,The Progress of Web Apps - On the Edge,Design Patterns: Progressive Disclosure for Mobile Apps,"Google I/O 2016 Preview: Machine Learning, Virtual Reality And Android N - ARC",Bots won't replace apps. Better apps will replace apps.,Infrequently Noted,Building Flipkart Lite: A Progressive Web App,Progressive Web App - first introduced on Google I/O | airberlin,WhatsApp just released desktop apps for Mac and Windows,The End Of Apps As We Know Them - Inside Intercom,"The New App Store: Subscription Pricing, Faster Approvals, and Search Ads"
[FILME] - The Hammer,Pequeno guia para entender as línguas de sinais,A importância dos filmes de mulherzinha - Capitolina,10 documentários para empreendedores,Inteligência artificial da IBM criou 'trailer perfeito' para filme,TEDxSãoPaulo,Como o Pokémon Go ajuda a explicar por que o Brasil é um país pobre,Vídeos motivacionais: os 21 vídeos mais incríveis.,As lições de empreendedorismo da H Stern,Simples assim,Por que o Walmart não é Walmart no Brasil
Can Accenture Take Over Advertising?,How to get the most from your agency relationships in 2017,Accenture Launches Content Studio,State of the Digital Nation 2016,Martech and ad tech convergence: myth or reality?,Accenture and Adboe team on customer enegagement,A day in the life of... Director of the Unexpected,"Telecoms open shop on Madison Avenue, but will brands buy?",Campaigns Are Dead. Modern Marketing Is a Data Exchange,Marketing Technology Landscape Supergraphic (2016) - Chief Marketing Technologist,"Razorfish, US digital revenues, drag down Publicis"
Three Lessons for Design-Driven Success,Time to Re-Think Design Thinking,The Future of Business is Design,What exactly is a design culture? ,What do Design Thinking and Marketing have in common?,Calm down: Google's use of Material Design on iOS is fine,10 Multipurpose Material Design Themes to Make Your Projects 10 Times Better,The Year in Design - Zeldman on Web & Interaction Design,[E-learning] Design Thinking for Innovation - University of Virginia | Coursera,How Indra Nooyi Turned Design Thinking Into Strategy: An Interview with PepsiCo's CEO,Transforming life insurance with design thinking
5 Internet Trends to Pay Attention to in Late 2016,How IoT security can benefit from machine learning,This year's Founders' Letter,How real businesses are using machine learning,Is machine learning the next commodity?,The Conversational Economy Part 1: What's Causing the Bot Craze?,Machine Learning for Designers,The barbell effect of machine learning.,"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel","How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel",Still a virtual reality skeptic? Here's why you shouldn't be
Conselho da SABMiller aceita proposta de compra da AB InBev,Por que o Walmart não é Walmart no Brasil,A saga do jovem CEO da Dasa,Bayer anuncia compra da Monsanto por US$ 66 bilhões,Como o Pokémon Go ajuda a explicar por que o Brasil é um país pobre,"Com compra da Estácio, Kroton se torna ""inalcançável"" | EXAME.com","Empresas brasileiras correm para ""ajustar"" cultura interna | EXAME.com",3M e o perfil intraempreendedor | Endeavor Brasil,TEDxSãoPaulo,"Como o e-commerce brasileiro pode, enfim, começar a lucrar",Black Friday salva o ano do e-commerce
10 Free Screen Readers For Blind Or Visually Impaired Users - Usability Geek,Building more accessible technology,My Approach to Mobile Accessibility Testing - Ministry of Testing,Addressing Accessibility for the Web,"[Tools] Free Business Video Conference with Screen Sharing, Permanent Room",Good Software Takes Ten Years. Get Used To it.,12 Agile principles,13 Killer SEO Copywriting Tips (With Examples and A/B Tests),Are you a bitcoin denialist? - Chris Skinner's blog,What readers think about computer-generated texts,Why image recognition is about to transform business
How to Create an Exponential Mindset,How to Think Exponentially and Better Predict the Future,Why do you Fail at Growth Marketing and How to Solve it,7 Questions to Ask Before Your Next Digital Transformation,When Will The First Machine Become Superintelligent? - AI Revolution,Ray Kurzweil Predicts Three Technologies Will Define Our Future,So long MVP. Hello Minimum Loveable Product.,Campaigns Are Dead. Modern Marketing Is a Data Exchange,The gig economy as a driver of innovation,NOW NEW NEXT: How growth champions create new value,Digital Leadership Is Not an Optional Part of Being a CEO
Uber China will reportedly merge with archrival Didi Chuxing,Cracks are showing in Uber but the company coming out of the shell is not what you thought,"Após 9 meses de operação e sucesso meteórico, Uber é vendido na China.",In defense of the Uber-ization of everything,Why Uber Is Killing the Bank (And What That Means for Everything Else),Uber's first self-driving cars will start picking up passengers this month,What's next for China's booming fintech sector?,Evaluating the Chinese Developer Community,Capturing China's $5 trillion productivity opportunity,Por que o Uber vem sofrendo tanto prejuízo entre empresas de tecnologia,"China leaps ahead of Japan, is second in global iOS app revenue"
Introduction - Material Design for Wearables,"What's new in Android: the N-Release, Virtual Reality, Android Studio 2.2 and more | Android Developers Blog",Why porting an iOS design to Android will not work,"Google I/O 2016: Develop, Grow & Earn",98 personal data points that Facebook uses to target ads to you,Google I/O 2016: Android's failure to innovate hands a Apple free run at WWDC,Usability Heuristics for Bots - Chatbots Magazine,This year's Founders' Letter,Android Studio 2.0 | Android Developers Blog,What 2 Years of Android Development Have Taught Me the Hard Way - Thought's by Aritra Roy,The End of the Office Dress Code
'Training for Google Apps' Is One Of Chrome's Best Kept Secrets - OMG! Chrome!,Google I/O 2016 Preview: A Chrome/Android merger? Project Tango? VR?,"Google acquires Synergyse, an interactive training service for Google Apps","Google acquires Synergyse, an interactive training service for Google Apps",Google connects BigQuery to Google Drive and Sheets,Introducing Casting into Hangouts,"Google I/O 2016 Preview: Machine Learning, Virtual Reality And Android N - ARC",8 things to expect from Google's biggest event of the year,"Google launches Springboard, an AI-powered assistant for its enterprise customers","Google's I/O Is a Little Like Disneyland, and a Little Like a Garage Sale","Google I/O 2016 preview: Android N, Android VR, Project Chirp, Play Store on Chromebooks and more!"
[Google4Work] Create a Tree View of your Google Drive,"Google Drive grows more powerful, feature by feature - TechRepublic",[Security] How to Set Expiration Dates for Shared Google Drive Files,Add the Same File to Multiple Folders in Google Drive without Copying,Google Drive for Mac/PC just got better! Now sync only the subfolders you need.,Google connects BigQuery to Google Drive and Sheets,Building an Angular 2 Application for Production,Google Drive Is Scary-Smart at Searching Your Images,A study on scale: WhatsApp & Google Drive... the story of our integration,Slack and Google announce partnership focused on better integrating their services,'Training for Google Apps' Is One Of Chrome's Best Kept Secrets - OMG! Chrome!
Automation and anxiety,The return of the machinery question,Today in Apple history: World prepares for the NeXT Computer | Cult of Mac,Robots are coming for your job,Microsoft's CEO Explores How Humans and A.I. Can Solve Society's Challenges-Together,Today in Apple history: Steve Jobs passes away | Cult of Mac,Today in Apple history: Steve Jobs passes away | Cult of Mac,Java vs .NET vs Python vs Ruby vs Node.JS: Who Reigns the Job Market? | Takipi Blog,Google's Schmidt Says Computers Not a Threat to Humans or Jobs,Will IIoT bolster industrial automation investments? - ReadWrite,Algorithms and architecture for job recommendations
IoT a favor do relacionamento médico-paciente,Dez habilidades profissionais mais valorizadas em projetos de Internet das Coisas - CIO,Como a tecnologia está mudando o atendimento hospitalar,Como a Microsoft está trabalhando com o conceito de IoT - Startupi,Carros conectados impulsionarão diferentes indústrias | Sonho Seguro,Tecnologia transforma gestão na área de saúde | EXAME.com,"SINAIS do FUTURO imediato: #1, internet das coisas",Transformação digital na Saúde: 3 pilares que devem ser reinventados - Saúde Business,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,Onde a tecnologia e o cuidado se encontram? - Saúde Business,Saúde entra na era da indústria 4.0 | EXAME.com
Kubernetes,1000 nodes and beyond: updates to Kubernetes performance and scalability in 1.2,Learn About the PHP Trends and Predictions for 2017,Introducing Google Container Engine (GKE) node pools,"Netflix OSS, Spring Cloud, or Kubernetes? How About All of Them!",HHVM vs PHP 7 - The Competition Gets Closer - Kinsta,20 Awesome PHP Libraries For Summer 2016,The Lifecycle of a Pod,​Kubernetes 1.4: One DevOps tool to rule all the containers | ZDNet,Creating a scalable API with microservices,PHP 7 Support in PhpStorm 2016.2
Automação de Marketing: o seu negócio está pronto?,"Afinal, o que é Inbound Marketing?",25 Coisas que Você Devia Começar a Fazer Agora que Tem 25 anos,Vídeos motivacionais: os 21 vídeos mais incríveis.,Como o Pokémon Go ajuda a explicar por que o Brasil é um país pobre,Quando o Scrum irá falhar - Tableless,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,"Tenho várias ideias de negócios, qual devo levar adiante?",7 motivos para você acordar às 5 da manhã - Tudo Pela Arte,Cinco competências comportamentais para você ser um bom líder,"SINAIS do FUTURO imediato: #1, internet das coisas"
"Afinal, o que é Inbound Marketing?",Automação de Marketing: o seu negócio está pronto?,Olhando para o futuro: 5 pontos de atenção,Vídeos motivacionais: os 21 vídeos mais incríveis.,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,Quando o Scrum irá falhar - Tableless,Como o Pokémon Go ajuda a explicar por que o Brasil é um país pobre,CRO: crescimento com baixo investimento,A estratégia de vendas da Amazon,Cinco competências comportamentais para você ser um bom líder,Para inovar é preciso mais do que boas ideias - Startupi
Os seus dados têm ótimas histórias para contar (e talvez você nem saiba),Tendências do Marketing de Conteúdo 2016,Especialistas trazem tendências de UX para 2017 - KingHost,Gestão de Dados: 10 questões básicas sobre seu uso,Olhando para o futuro: 5 pontos de atenção,CRO: crescimento com baixo investimento,Automação de Marketing: o seu negócio está pronto?,[Books] Biblioteca FIXE: Sugestões de Leitura,Banco Original discute tendências dos serviços financeiros e lança plataforma para desenvolvedores - Startupi,big data = real time,O seu conteúdo está preparado para as duas internets?
German insurance startup Clark closes €13.2M Series A,"IoT Insurance: Trends in Home, Life & Auto Insurance Industries",The new-world insurance agent,The insurance tech equation,How Blockchain Technology Can Improve the Insurance Industry,InsurTech: changing the world of risk - Chris Skinner's blog,Slice Labs raises $3.9M to insure on-demand workers when they're on the job,Big data analysis to transform insurance industry - FT.com,Not Your Father's Insurance Industry - Insurance Thought Leadership,Making digital strategy a reality in insurance,Top 10 Insurtech Trends for 2017 - Insurance Thought Leadership
Spring Boot 1.4 released,How We Migrated Our Backend to Spring Boot in 3 Weeks - Stormpath User Identity API,Spring Boot 1.5.1 released,Combining Spring Boot and JDBI,Spring DAO vs Spring ORM vs Spring JDBC,"A Geospatial Messenger with Kotlin, Spring Boot and PostgreSQL",Introducing Kotlin support in Spring Framework 5.0,Code reuse in microservices architecture - with Spring Boot,"Enterprises fighting back, Spring Boot is the best, and other SpringOne Platform takeaways",Introduction to Spring REST Docs | Baeldung,Java Microservices: The Cake is a Lie but You Can't Ignore It | Takipi Blog
MOBILE TIME - Santander lança app dedicado aos clientes do ensino superior,Santander Vies to Become First Bank to Issue Cash on Blockchain - CoinDesk,Santander Brasil gera 21% do resultado da matriz no 4º trimestre,"Com compra da Estácio, Kroton se torna ""inalcançável"" | EXAME.com",ClienteSA - Gente - Empatia e tecnologia,Nubank começa a testar seu programa de fidelidade - Empresas Tech,Aplicativo gratuito permite gerenciar Consórcio Honda diretamente do celular - Notícias - Auto Estrada,Nubank pode fechar as portas se BC confirmar mudança amanhã,Banco Original discute tendências dos serviços financeiros e lança plataforma para desenvolvedores - Startupi,"Por dentro do Nubank, conheça os segredos da fintech mais festejada do país",TEDxSãoPaulo
Workshop de Design Thinking - Unicamp,[Books] Biblioteca FIXE: Sugestões de Leitura,São Paulo recebe maior evento nacional voltado à educação e discute tecnologia no setor - Startupi,3M e o perfil intraempreendedor | Endeavor Brasil,TEDxSãoPaulo,Críticas de design: dizendo as coisas que precisam ser ditas,Microsoft convoca comunidade técnica para resolver problemas usando a nuvem - Startupi,"Inatel lança seu Smart Campus, um laboratório vivo para demonstração de projetos na área de IoT - Startupi",Cinco competências essenciais ao IT Leaders - CIO,Banco Original discute tendências dos serviços financeiros e lança plataforma para desenvolvedores - Startupi,O tênue equilíbrio da equipe que desenha produtos digitais
AI Revolution 101 - AI Revolution,When Will The First Machine Become Superintelligent? - AI Revolution,The next AI is no AI,Ray Kurzweil Predicts Three Technologies Will Define Our Future,Clarifying the uses of artificial intelligence in the enterprise,Andrew Ng: What AI Can and Can't Do,Here's how The White House wants the U.S. to approach AI R&D,Most experts say AI isn't as much of a threat as you might think,When Is the Singularity? Probably Not in Your Lifetime,Democratizing AI,Artificial intelligence is changing SEO faster than you think
Alphabet testará drones de entrega nos Estados Unidos,Conheça a patente do Google que prevê entregas por drones - Startupi,MOBILE TIME - Drones vão ajudar pequenos agricultores no Brasil,[Books] Biblioteca FIXE: Sugestões de Leitura,Google estaria criando aceleradora para seus funcionários - Startupi,"Empresas brasileiras correm para ""ajustar"" cultura interna | EXAME.com",A saga do jovem CEO da Dasa,Testes unitários vs aceitação - Android Dev BR,Por que o Walmart não é Walmart no Brasil,"""5G está para IoT como 4G esteve para o Smartphone"", saiba as apostas da Intel para 2017",Confira as novidades apresentadas no Google I/O 2016
"HoloLens, da Microsoft, engana o usuário para consertar conexões falhas do cérebro","Olhar Digital: Notícia: Testamos o HoloLens, os óculos do futuro da Microsoft",Dicas para aumentar produtividade: 14 dicas incríveis.,Confira as novidades apresentadas no Google I/O 2016,[Books] Biblioteca FIXE: Sugestões de Leitura,Pokémon GO e o impacto na experiência do usuário -,Startups matam. E suas vítimas são as empresas que ainda não entendem o que é a Economia do Acesso,Especialistas trazem tendências de UX para 2017 - KingHost,"Por dentro do Nubank, conheça os segredos da fintech mais festejada do país",Olhando para o futuro: 5 pontos de atenção,"""Consultorias promovem a desvalorização do nosso negócio"" - Meio & Mensagem"
Serious Business: Should Renewable Energy Continue Receiving Government Subsidies?,Portugal runs for four days straight on renewable energy alone,Serious Business: Is The Sharing Economy Good For Business?,Ethereum Used for 'First' Paid Energy Trade Using Blockchain Tech - CoinDesk,Machine Learning and the VP Debate,Kit de sensor BLE alimentado por energia solar,'We've realized a ten-year strategy goal in one year',"NASA's Space Robotics Challenge: The Tasks, the Prizes, and How to Participate",Google shares data center security and design best practices,The gig economy as a driver of innovation,"Google unleashes DeepMind on energy-hungry datacenter, cutting cooling bill by 40 percent"
10 Things I Gained When I Gave Up All My Stuff,Most People Say They Could Get Rid of Tons of Stuff and Still Be Happy,10 Simple Habits of Insanely Productive People,So long MVP. Hello Minimum Loveable Product.,"GitHub broke my 1,000 day streak - Free Code Camp",Seniority,Practical Frameworks for Beating Burnout,Learning How to Learn: The Most Important Developer Skill - Free Code Camp,Ask a Female Engineer: Joining a Startup,Eddy Cue and Craig Federighi Open Up About Learning From Apple's Failures,Facebook Messenger's David Marcus on the rocky rollout of bots
Most People Say They Could Get Rid of Tons of Stuff and Still Be Happy,10 Things I Gained When I Gave Up All My Stuff,"Good riddance, gig economy: Uber, Ayn Rand and the awesome collapse of Silicon Valley's dream of destroying your job",Defining The Sharing Economy: What Is Collaborative Consumption--And What Isn't?,5 reasons your employees aren't sharing their knowledge,Serious Business: Is The Sharing Economy Good For Business?,New Africa Trend Briefing from TrendWatching | THE FUTURE OF AFRICONNECTION,Large CPGs are under attack by startups... and consumers are winning,The Conversational Economy Part 1: What's Causing the Bot Craze?,A Harvard Psychologist Says This Trait Matters Most: 10 Ways to Make a Great First Impression,How Indra Nooyi Turned Design Thinking Into Strategy: An Interview with PepsiCo's CEO
Criadas para casar,Como o Pokémon Go ajuda a explicar por que o Brasil é um país pobre,Neoliberalismo a ideologia na raiz de todos os nossos problemas,"SINAIS do FUTURO imediato: #1, internet das coisas",O machismo também mora nos detalhes - Think Olga,Startups matam. E suas vítimas são as empresas que ainda não entendem o que é a Economia do Acesso,"Por dentro do Nubank, conheça os segredos da fintech mais festejada do país",O que é benchmarking? Veja quando um concorrente se torna inspiração!,Crianças esquecidas no carro: quando nem a tecnologia pode ajudar | Tecnoblog,Se eu fosse fundar uma nova agência... - Meio & Mensagem,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi
"Pelo sétimo mês consecutivo, fluxo de visitantes a shopping centers recua | VEJA.com",Seguradoras divulgam resultados de 2016 - Apólice,Negociação deve garantir ocupação de shoppings até 2017 | EXAME.com,As compras e os hábitos dos brasileiros no shopping | EXAME.com,"Vale reverte prejuízo e tem lucro de R$ 1,8 bilhão no 3º trimestre","Vale reverte prejuízo e tem lucro de R$ 1,8 bilhão no 3º trimestre",Black Friday salva o ano do e-commerce,"Focada em nuvem, SAP dribla crise e cresce na América Latina | EXAME.com",Portal Abrasce - Conhecendo o frequentador de shopping center,Netshoes e Zattini anunciam 30 dias de Black Friday,Dafiti registra alto crescimento no 1º semestre de 2016
Building immutable entities into Google Cloud Datastore,"Google Cloud Datastore simplifies pricing, cuts cost dramatically for most use-cases",Google Cloud Datastore gets faster cross-platform API,How to get your ASP.NET app up on Google Cloud the easy way,Microservices Architecture on Google App Engine,Alecrim/AlecrimCoreData,Dries Buytaert: Advancing Drupal's web services,Advancing enterprise database workloads on Google Cloud Platform,Will Google NLI kill the market? Linguistic APIs review,Search API,Now playing: New ISO security and privacy certifications for Google Cloud Platform
