title,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
Peças Translúcidas,How to finish 3D printed PLA objects,Lentes de contato inteligentes serão o wearable definitivo,Adulterated Objective-C,"Por dentro do MariaLab: A tecnologia é área para as mulheres, sim!",Soylent's new drink will replace your breakfast and morning coffee
TECNISA melhora performance de marketing digital com estratégias em parceira com o Google,The omnichannel customer experience is poised to take off in regulated industries,"[Techniques] Será que você está fazendo ""brainstorm"" da forma correta? - Blog Locaweb - Notícias sobre tecnologia, programação e muito mais.",[Tools] XMind Plus - Last Chance for students' 1$ gift,Taco Bell chega ao Brasil no segundo semestre desse ano,Onde a tecnologia e o cuidado se encontram? - Saúde Business
Características de Arquiteturas Evolutivas,"Walgreens now lets you digitally clip coupons from its iOS app, redeem in-store through Apple Pay with loyalty card",WebAIM: WebAIM's WCAG 2.0 Checklist - for HTML documents,Gmail e Inbox by Gmail terão suporte a e-mails com design responsivo | Google Discovery,React Native v0.32.0-rc.0 released,TypeScript 2.0 is now available!
Introducing DeepText: Facebook's text understanding engine,Making open source data more available,Funcionários do mês no CoolHow: os Slackbots - CoolHow Creative Lab,Google's Cloud Investments are Finally Starting to Pay Off,"Feeding 10 billion people with cloud computing: Land O'Lakes, Inc. moves to Google Cloud Platform",The AI business landscape
Cargill anuncia mudanças estratégicas para fortalecer a marca Nutron,The future of agriculture - Jim Womack visits a lean farm,"Carne artificial acabará com o agronegócio brasileiro, afirma especialista",Bayer propõe comprar Monsanto para formar a maior agroquímica do mundo,Programa de Demissão Voluntária na Moto Honda tem mais de 500 adesões,Tetra Pak Cheese and Powder Systems acquires Laude
"Google admits original enterprise cloud strategy was wrong, why it's gone in a different direction - TechRepublic",Services | RaRe Technologies,"Swarm A.I. Correctly Predicts the Kentucky Derby, Accurately Picking all Four Horses of the Superfecta at 540 to 1 Odds",Graph-powered Machine Learning at Google,New Sessions Added To Google I/O 2016 Schedule,Exclusive: Why Microsoft is betting its future on AI
Google Calendar for Android can now find meeting times that work for everyone,"Swarm A.I. Correctly Predicts the Kentucky Derby, Accurately Picking all Four Horses of the Superfecta at 540 to 1 Odds",Why Netflix thinks its personalized recommendation engine is worth $1 billion per year,"DARPA Goes ""Meta"" with Machine Learning for Machine Learning",The AI business landscape,Ray Kurzweil Predicts Three Technologies Will Define Our Future
Imagine Discovering That Your Teaching Assistant Really Is a Robot,The AI business landscape,DeepMind moves to TensorFlow,Why Google App Engine rocks: A Google engineer's take,"Here's what Viv looks like, the next generation AI assistant built by Siri creator",Deep learning software knows that a rose is a rose is a rosa rubiginosa
Aurelia 1.0 is Here!!!,Learning How to Learn: The Most Important Developer Skill - Free Code Camp,Usando o git add interativo,"Olhar Digital: Notícia: Testamos o HoloLens, os óculos do futuro da Microsoft",7 Tips to Create a Company Learning Culture like Google - Without Resources,Creating Your Code Review Checklist - DaedTech
Feito por Elas #01 Agnieszka Holland | AntiCast,O que é liderança? Liderança é fazer a diversidade funcionar.,"Por dentro do MariaLab: A tecnologia é área para as mulheres, sim!",12 JavaScript Hacks,Learn TypeScript in 30 Minutes,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi
Quake 3 Arena e o método Fast InvSqrt(),Support Ended for Eclipse Android Developer Tools,Facebook's Artificial Intelligence Research lab releases open source fastText on GitHub,Cordova iOS Performance Improvements: Drop-in Speed with WKWebView,Pury - New Way to Profile Your Android Application,Building a Team from the Inside Out: Alok Gupta on the Evolution of Data Science at Airbnb
Are you a bitcoin denialist? - Chris Skinner's blog,Google e GFT firmam parceria para testes com foco em blockchain - Startupi,Itaú é pioneiro do blockchain,"Elopar lança o ""Digio"", cartão para brigar com Nubank",Nubank pode fechar as portas se BC confirmar mudança amanhã,"Forget Wallets, Check out This Serious FinTech Product Built in India: ZestMoney for Instant Credit"
Conheça 20 atletas LGBT que vão competir nas Olimpíadas do Rio,Este site quer conectar profissionais trans e travestis a empresas que não têm preconceito,"Largest botnet attack in history peaks at over 1 terabits per second, aided by Internet of Things",Para entender o Dia Internacional contra a Homofobia,Glamour Exclusive: President Obama On Feminism and The World He Wants to Leave His Daughters,The Genderbread Person v3 | It's Pronounced Metrosexual
The Skills You'll Need and the Salary You Can Expect as a Data Scientist,Elastic Stack 5.0.0 Released,Chrome OS now has Material Design for the desktop,Google is quietly making progress on one of its most jaw-dropping tech projects,Programming by poking: why MIT stopped teaching SICP,"Pinterest acquires the team behind Fleksy, a custom iOS and Android keyboard"
Larry Page's dream of building a 'Google Island' could be coming true,Five things to include in your digital transformation playbook,Google is quietly making progress on one of its most jaw-dropping tech projects,Microsoft's CEO Explores How Humans and A.I. Can Solve Society's Challenges-Together,Carrefour começa a operar e-commerce no Brasil | EXAME.com,Former NASA chief unveils $100 million neural chip maker KnuEdge
Dinheiro pode sair de circulação na Suécia até 2030,Como Startups e Grandes Empresas podem colaborar para Inovar mais e melhor,Failing model: Plastic Card + App and Card + Wallet Players?,Chatbots: Are they better without the chat?,Nubank pode fechar as portas se BC confirmar mudança amanhã,Mobile Time
"Google acquires Synergyse, an interactive training service for Google Apps","Google launches Springboard, an AI-powered assistant for its enterprise customers","Hello, a nova rede social do Orkut, está liberada no Brasil",Grow fast or die slow: Focusing on customer success to drive growth,Slice Labs raises $3.9M to insure on-demand workers when they're on the job,Building more accessible technology
Enable secure mode on your web product | Intercom Docs,"Bots, Messenger and the future of customer service",Uma recepção eficiente,Caravel: Airbnb's data exploration platform - Airbnb Engineering & Data Science,What the Google I/O schedule tells us about the future of Android,Why Steve Jobs Was Proud to Steal Ideas
Johnson & Johnson comprará grupo suíço por US$ 30 bi,Dries Buytaert,Who sponsors Drupal development? | Dries Buytaert,Johnson & Johnson compra líder global em dermocosméticos | EXAME.com,What Google AMP Means for Every Marketer,Cognizant Named a Digital Transformation Leader in the Life Science Industry
The brilliant mechanics of Pokémon Go,4 lessons we can learn from Denmark about happiness at work,The Physical Web,"Building Chatbots with Node.js - Online Training - July 13 & 14, 2016",Mobile marketing statistics 2016,Can Accenture Take Over Advertising?
Conheça as 10 profissões mais felizes e infelizes do mundo,LOGOBR School | Behance Reviews Campinas 2016,Motion with Meaning: Semantic Animation in Interface Design,TAM recebe primeira aeronave com o design e pintura da LATAM e avança na implantação da nova marca!,"Facebook sends a loud message about Messenger bots, but will we hear it?",Learning to learn by gradient descent by gradient descent
Eclipse Foundation Releases Neon,Kubernetes,Introducing the Open Images Dataset,From Google to the world: the Kubernetes origin story,Mimo baby monitor helps parents get more sleep,Graph Capabilities with the Elastic Stack
Machine Learning Is Redefining The Enterprise In 2016,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,The barbell effect of machine learning.,A Beginner's Guide To Understanding Convolutional Neural Networks,How to choose algorithms for Microsoft Azure Machine Learning,Google connects BigQuery to Google Drive and Sheets
Live Event: Unveiling the GitLab Master Plan,Workspace Filter,AEM 6.1 Package Manager Metadata Files,How to Install and Use the Linux Bash Shell on Windows 10,Adobe CQ/Adobe AEM,Test and deploy to Google App Engine with the new Maven and Gradle plugins
Why 2016 is shaping up to be the Year of the Bot,How the Communicator's Dilemma Made a 'Slack-lash' Inevitable,How to Design a Walkthrough That Users Will Read,AWS Certified Solutions Architect Professional – Study Guide – Domain 5.0: Data Storage for a complex large scale deployment,Achievement Unlocked : AWS Certified Solutions Architect Professional,Android - The dark side of Jack and Jill
The future of the shopping mall,Visa e Swatch lançam relógio para pagamentos contactless no Brasil - Startupi,MOBILE TIME - Shoppings do Rio testarão solução de marketing com beacons,5 Podcasts : Aprenda mais sobre gestão e liderança,Three Lessons for Design-Driven Success,SpotHero is ready for the future of autonomous parking
What Pinterest learned in two years working on its search engine,"Google Cloud Dataproc - the fast, easy and safe way to try Spark 2.0-preview | Google Cloud Big Data and Machine Learning Blog",To bot or not to bot,"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts",Ordering coffee in Italy: the 10 commandments,Joel on Software
One Dollar Board: Um projeto brasileiro para revolucionar a educação,11 Internet of Things (IoT) Protocols You Need to Know About,Smart Contact Lens-Eyeglass Combo Could Monitors Diabetes and Delivers Drugs,Zuckerberg mostra em vídeo do que sua inteligência artificial 'Jarvis' é capaz,TechCrunch launches a personalized news recommendations bot on Facebook Messenger,NodeMCU (ESP8266) o módulo que desbanca o Arduino e facilitará a Internet das Coisas...
"Facebook sends a loud message about Messenger bots, but will we hear it?",Learning to learn by gradient descent by gradient descent,Ray Kurzweil Predicts Three Technologies Will Define Our Future,Why Netflix thinks its personalized recommendation engine is worth $1 billion per year,"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel","DARPA Goes ""Meta"" with Machine Learning for Machine Learning"
How Indra Nooyi Turned Design Thinking Into Strategy: An Interview with PepsiCo's CEO,"The price of Ether, a bitcoin rival, is soaring because of a radical, $150 million experiment",The Real Lesson for Data Science That is Demonstrated by Palantir's Struggles,Jeff Seguros: SEGUROS E GAMES,Staying one step ahead at Pixar: An interview with Ed Catmull,Optimize Your Agile Growth Strategy with Cloud
What is WebAssembly? The Dawn of a New Era - JavaScript Scene,"Conheça Ember, a impressora 3D com hardware e software aberto da Autodesk",The Joel Test: 12 Steps to Better Code,AWS Certified Solutions Architect Professional – Study Guide – Domain 5.0: Data Storage for a complex large scale deployment,Achievement Unlocked : AWS Certified Solutions Architect Professional,UE não dá sossego ao Google. Novo alvo? O AdSense
Don't document your code. Code your documentation.,Como testar exceções em Java com o JUnit - Code a Test,Concrete things you can do about your technical debt,Using DiffUtil in Android RecyclerView,When to make a Git Commit,Testes unitários vs aceitação - Android Dev BR
NoSQL Performance Benchmarks,Fábio Prado - Overview sobre índices - DBA Brasil 1.0,SQL vs NoSQL: you do want to have a relational storage by default - Enterprise Craftsmanship,Gartner Reprint,Gartner Reprint,Top Asset Tracking Software: The 52 Best Tools and Software Solutions to Track Your Company's Vital Physical Assets
What the future will look like when we use chatbots instead of apps,"Deep Learning for Chatbots, Part 2 - Implementing a Retrieval-Based Model in Tensorflow","Bots need a personality, not a brain like a vending machine",Terms Aggregation in Elastic Search,Why Deep Learning Is Suddenly Changing Your Life,CrowdFlower raises $10 million from Microsoft and others to bring AI to data science
Probabilistic Programming,6 reasons why I like KeystoneML,"Feather: A Fast On-Disk Format for Data Frames for R and Python, powered by Apache Arrow",Mastering Software Development in R · Simply Statistics,A Technical Primer On Causality,Google's Cloud Machine Learning service is now in public beta
"When not to quit, according to the founder of an $11 billion startup that took a while to get off the ground",Don't Waste Your Time on Networking Events,Woolworths,"Dilma Rousseff's Impeachment Isn't a Coup, It's a Cover-Up",This CEO Runs a Billion-Dollar Company With No Offices or Email,Practical Frameworks for Beating Burnout
Spark comparison: AWS vs. GCP,Google's Cloud Machine Learning service is now in public beta,The emerging Darwinian approach to analytics and augmented intelligence,Graph-powered Machine Learning at Google,Services | RaRe Technologies,Machine Learning Is No Longer Just for Experts
How a Japanese cucumber farmer is using deep learning and TensorFlow | Google Cloud Big Data and Machine Learning Blog | Google Cloud Platform,The emerging Darwinian approach to analytics and augmented intelligence,Exclusive: Why Microsoft is betting its future on AI,Google's Cloud Machine Learning service is now in public beta,Scala is the new golden child,New Sessions Added To Google I/O 2016 Schedule
"Conheça o GoBox, marketplace do Grupo Abril - VEJA.com",10 Simple Habits of Insanely Productive People,Taco Bell chega ao Brasil no segundo semestre desse ano,Lista tem 15 dicas para Google Docs; teste,The Three Language Acquisition Stages,Top 10 Intranet Trends of 2016
New Amazon Linux Container Image for Cloud and On-Premises Workloads,Docker Swarm,Drupal 8 CI/CD with Docker via Jenkins. Part 1: Integration,Here's how Evernote moved 3 petabytes of data to Google's cloud,Hedron: Or my dissatisfaction with local development #Drupal,Build Quality In: The Key to Continuous Delivery in Kanban
Testes unitários vs aceitação - Android Dev BR,Using DiffUtil in Android RecyclerView,"ConstraintLayout, Inside and Out: Part 1",Test Driven Development by Example: Validation in Java,Evernote anuncia integração com Google Drive | Google Discovery,Top 5 GCP NEXT breakout sessions on YouTube (so far)
"Por dentro do MariaLab: A tecnologia é área para as mulheres, sim!",Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,Google usa aprendizado de máquina para melhorar imagens de baixa qualidade | Google Discovery,Burger King aceita pedidos via mensagens no Facebook - Startupi,Plano Nacional de IoT chega em março com parceria entre MCTIC e BNDES,1º Congresso Brasileiro de IoT - Embarcados
Zuckerberg mostra em vídeo do que sua inteligência artificial 'Jarvis' é capaz,Corporate Intrapreneur Summit,"Cheap, Rugged Sweat-Sensing Skin Patch Hints at Bloodless Testing",Teaching machines to predict the future,"Inside OpenAI, Elon Musk's Wild Plan to Set Artificial Intelligence Free",Mary Meeker's essential 2016 Internet Trends Report
Analytics startup Amplitude raises $15M,Whirlpool Vessi puts a microbrewery in your kitchen | News | Geek.com,Segment helps businesses integrate third-party sources into their data pipelines,Evernote anuncia integração com Google Drive | Google Discovery,"Facebook sends a loud message about Messenger bots, but will we hear it?",Taco Bell chega ao Brasil no segundo semestre desse ano
Skully officially admits it's over,These gloves can convert sign language into spoken English,Unilever Buys Dollar Shave Club for $1 Billion,"Cheap, Rugged Sweat-Sensing Skin Patch Hints at Bloodless Testing",The AI business landscape,Grow fast or die slow: Focusing on customer success to drive growth
Lista tem 15 dicas para Google Docs; teste,"Ultrapar, por meio da Ipiranga, assina compra da Ale por R$ 2,17 bilhões",Ultrapar aprova investimento adicional de R$ 196 milhões para a Ipiranga,Portugal runs for four days straight on renewable energy alone,"Conheça o GoBox, marketplace do Grupo Abril - VEJA.com",Startups apostam em aplicativos que conectam fretes e caminhoneiros
Rating the English Proficiency of Countries and Industries Around the World,The Three Language Acquisition Stages,Build Quality In: The Key to Continuous Delivery in Kanban,Top 30 Commonly Confused Words in English,Stop Trying to Sound Smart When You're Writing,"E quando o cliente diz ""Não gostei""?"
Dasa compra maior rede de laboratórios do Nordeste,A saga do jovem CEO da Dasa,6 exemplos de como usar computação cognitiva | EXAME.com,Sophia Genetics chega à América Latina para democratizar a Data-Driven Medicine,Tecnologia transforma gestão na área de saúde | EXAME.com,Visa e Swatch lançam relógio para pagamentos contactless no Brasil - Startupi
Lilly Wachowski Makes First Public Appearance Since Coming Out as Transgender,These gloves can convert sign language into spoken English,"Cheap, Rugged Sweat-Sensing Skin Patch Hints at Bloodless Testing",Vídeo impactante faz você sentir na pele o preconceito contra LGBTs,Grow fast or die slow: Focusing on customer success to drive growth,The AI business landscape
Four Node.js Gotchas that Operations Teams Should Know about - The New Stack,Falling for Web Components,Mercado de Cosméticos no Brasil - Setor que não conhece crise!,"Why Performance Matters, Part 1: The Perception Of Time - Smashing Magazine",Mobify report reveals impact of mobile website speed,Things you probably didn't know you could do with Chrome's Developer Console
"Inatel lança seu Smart Campus, um laboratório vivo para demonstração de projetos na área de IoT - Startupi",Uma arquitetura de referência para a Internet das Coisas - Parte 1,Dez habilidades profissionais mais valorizadas em projetos de Internet das Coisas - CIO,Webinar: A Internet das Coisas no Brasil,Announcing updates to Google's Internet of Things platform: Android Things and Weave,Top 30 Commonly Confused Words in English
Writing good code: how to reduce the cognitive load of your code,"Agility in the Cloud: Which ""As a Service"" Works for You?",Perfect Menu for Mobile Apps - UX Planet,Today in Apple history: Steve Jobs passes away | Cult of Mac,Desenvolvimento de Aplicativos Mobile com Xamarin -,One year as a Data Scientist at Stack Overflow
"Google's AI engine is reading 2,865 romance novels to be more conversational","Franz - from idea to 10,000 daily active users in 26 days - Meet Franz",Indian outsourcing specialists must reboot their strategies,Conheça a patente do Google que prevê entregas por drones - Startupi,Grow fast or die slow: Focusing on customer success to drive growth,The AI business landscape
WeChat's world,"There will be a Drupal 9, and here is why",WeChat's competitor to Slack has arrived,Uber China will reportedly merge with archrival Didi Chuxing,Woolworths,"How I built an app with 500,000 users in 5 days on a $100 server"
Como resolver conflitos no ambiente corporativo us,Investimentos em coaching e mentoring aumentam nas empresas,O valor de seu trabalho de coaching vai depender de suas habilidades de acompanhamento - Harvard Business Review Brasil,How to augment your career with leadership coaching,Cinco competências comportamentais para você ser um bom líder,Psicóloga de Harvard diz que as pessoas julgam você em segundos por esses critérios | Jornal do Empreendedor
55 fornecedores de TI que apresentarão novidades no Ciab 2016,1% das empresas dominam 94% das receitas na App Store,The Biggest list of 35 FREE UX Books,Google Unveiled A Partnership With Levi's To Create Smart Clothing,Banco Original discute tendências dos serviços financeiros e lança plataforma para desenvolvedores - Startupi,Global Data Bank é lançado internacionalmente com operação no Brasil
Top 5 Android Testing Frameworks with Examples,My Approach to Mobile Accessibility Testing - Ministry of Testing,"Espresso Intents: não é magia, é tecnologia! - Android Dev BR",Como o layout de aplicativos influencia o usuário e por que você deveria testá-lo - One Day Testing Blog,A tougher Turing Test shows that computers still have virtually no common sense,"Google tests a more personalized version of its virtual assistant, Google Now"
It's Time to Unlearn Everything You Know About Java Exceptions | Takipi Blog,AWS Certified Solutions Architect Professional – Study Guide – Domain 5.0: Data Storage for a complex large scale deployment,The Joel Test: 12 Steps to Better Code,What the JIT!? Anatomy of the OpenJDK HotSpot VM,Achievement Unlocked : AWS Certified Solutions Architect Professional,UE não dá sossego ao Google. Novo alvo? O AdSense
"Fresco, sim! - Android Dev BR",StrictMode for Runtime Analysis on Android - Google Developers,AWS Certified Solutions Architect Professional – Study Guide – Domain 5.0: Data Storage for a complex large scale deployment,Achievement Unlocked : AWS Certified Solutions Architect Professional,Creating Compound Views on Android,AWS Certified Solutions Architect Professional – Study Guide – Domain 1.0 – High Availability and Business Continuity (15%)
Mobile Time,The Digital Transformation Playbook: Rethink Your Business for the Digital Age (Columbia Business School Publishing) eBook Kindle,Banco Original discute tendências dos serviços financeiros e lança plataforma para desenvolvedores - Startupi,Como Startups e Grandes Empresas podem colaborar para Inovar mais e melhor,PwC faz virada digital e já fatura US$ 1 bilhão no mundo,6 exemplos de como usar computação cognitiva | EXAME.com
Up your DevOps chops with this online Kubernetes class,Google's fair use victory is good for open source,Using Honcho to Create a Multi-Process Docker Container,DevOps requer profundas mudanças operacionais que o CIO precisa promover - CIO,Drupal 8 CI/CD with Docker via Jenkins. Part 1: Integration,Here's how Evernote moved 3 petabytes of data to Google's cloud
O dia em que tive mais medo de estar errada.,"In war for talent, 'brogrammers' will be losers",Glamour Exclusive: President Obama On Feminism and The World He Wants to Leave His Daughters,#Sentaquelávemtextão,A minha viagem à Maternidade #tetodomundo,Susan Wojcicki on the Effectiveness of Empowering Ads on YouTube
Cinco competências essenciais ao IT Leaders - CIO,Managing Machines at Spotify,"Amazon still crushing cloud competition, says Gartner Magic Quadrant for IaaS - TechRepublic",The future of the shopping mall,Nubank e Goldman fecham parceria de R$ 200 milhões,Visa e Swatch lançam relógio para pagamentos contactless no Brasil - Startupi
Hype Driven Development,"As Artificial Intelligence Evolves, So Does Its Criminal Potential",Visual Thinking and Learning 3.0 working together at Walmart.com | Happy Melly,How to build cross-platform mobile apps using nothing more than a JSON markup,O futuro das interfaces: Chatbots - Tableless,Building immutable entities into Google Cloud Datastore
What Apple's differential privacy means for your data and the future of machine learning,Program your way to your next grocery delivery,Comprar roupas está ficando fora de moda no Reino Unido,Apple gives devs the chance to harness power of neural networks,"Google Cloud Dataproc - the fast, easy and safe way to try Spark 2.0-preview | Google Cloud Big Data and Machine Learning Blog",Joel on Software
9 Non-Threatening Leadership Strategies for Women,Analyst: Google's cloud business could cause the stock to soar to over $900,Google employees are adding 'Lady' to their job titles to fight sexism,"An independent organization just ranked Google as the best cloud, beating Amazon",A minha viagem à Maternidade #tetodomundo,Glamour Exclusive: President Obama On Feminism and The World He Wants to Leave His Daughters
AI Revolution 101 - AI Revolution,Cognitive Services-Intelligence Applications | Microsoft Azure,Microsoft's Open Source Love Affair Reaches New Heights,The emerging Darwinian approach to analytics and augmented intelligence,Physicists have discovered what makes neural networks so extraordinarily powerful,Exclusive: Why Microsoft is betting its future on AI
Diane Greene wants to put the enterprise front and center of Google Cloud strategy,Two Different Sales Motions . . . .,An operating model for company-wide agile development,Staying one step ahead at Pixar: An interview with Ed Catmull,Indian outsourcing specialists must reboot their strategies,GE Digital snags ServiceMax for $915 million
Perfect Menu for Mobile Apps - UX Planet,Writing good code: how to reduce the cognitive load of your code,"Agility in the Cloud: Which ""As a Service"" Works for You?",LukeW | Obvious Always Wins,Today in Apple history: Steve Jobs passes away | Cult of Mac,Alecrim/AlecrimCoreData
"Swarm A.I. Correctly Predicts the Kentucky Derby, Accurately Picking all Four Horses of the Superfecta at 540 to 1 Odds",Google Calendar for Android can now find meeting times that work for everyone,The AI business landscape,"DARPA Goes ""Meta"" with Machine Learning for Machine Learning","Apple acquires Turi, a machine learning company",Deep learning software knows that a rose is a rose is a rosa rubiginosa
"Revista MundoLogística - Sistema desenvolvido por estudante do CTC/PUC-RIO gera economia de US$ 10 milhões, no transporte marítimo",Programação Reativa Funcional com RxJava,Python - It's metaclasses all the way down,Conselho da SABMiller aceita proposta de compra da AB InBev,Scrum Community - Scrum Alliance,The Difference Between Sympathy And Empathy - Expanded Consciousness
IAM best practice guides available now,Cognitive Services-Intelligence Applications | Microsoft Azure,Microsoft Build: the 10 most important announcements,Mapping the World of Music Using Machine Learning: Part 1 - iHeartRadio Tech Blog,Paragraphs,Why Netflix thinks its personalized recommendation engine is worth $1 billion per year
Introducing Ask a Female Engineer,The Genderbread Person v3 | It's Pronounced Metrosexual,YouTube chama seus criadores de conteúdo para a campanha mundial #OrgulhoDeSer,Este site quer conectar profissionais trans e travestis a empresas que não têm preconceito,Workplace diversity in Brazil: there's still a long way to go,"Largest botnet attack in history peaks at over 1 terabits per second, aided by Internet of Things"
Google vai reduzir em 50% consumo de memória do Chrome | Google Discovery,"""Consultorias promovem a desvalorização do nosso negócio"" - Meio & Mensagem",Olli: Artificial Intelligence for the real world of connected commuting,Advanced Android Espresso,"Google Pixel, o primeiro smartphone feito pelo Google | Google Discovery",Microservices Architecture on Google App Engine
"Google Duo, aplicativo de chamadas em vídeo | Google Discovery","Projeto Ara, o smartphone modular do Google, pode chegar ao mercado em 2017 | Google Discovery","Google just open sourced something called 'Parsey McParseface,' and it could change AI forever",Login sem senha no Android deve chegar até o final de 2016 | Google Discovery,YouTube's New Messenger Means You'll Never Have to Leave YouTube,Google lança teclado virtual para iPhone com recursos de pesquisa | Google Discovery
Serverless real-time architecture on AWS: there is a way !,"Zuul 2 : The Netflix Journey to Asynchronous, Non-Blocking Systems",Serverless Architectures,Taking Microservices Home - NGINX,Learning How to Learn: The Most Important Developer Skill - Free Code Camp,Angular 2 versus React: There Will Be Blood - Free Code Camp
Cientistas trabalham em técnica que permite imprimir alimentos,Especial Agrishow: Soluções de agricultura de precisão elevam produtividade e aumentam a qualidade do plantio,"Carne artificial acabará com o agronegócio brasileiro, afirma especialista",Empresas intensificam operações de barter diante da dificuldade de crédito,Buscas on-line por carros têm expansão de 43% no 1º trimestre,How to Create an Exponential Mindset
[Free Course] Running Valuable Design Sprints - University of Virginia | Coursera,[Videos] This fake TED Talk about nothing might be the best you've ever seen,[E-learning] Design Thinking for Innovation - University of Virginia | Coursera,[Report] Gráficos inúteis ou bregas do Excel (parte 2),[eBook] Enxugando a máquina - Paulo Caroli,[Books] Biblioteca FIXE: Sugestões de Leitura
Creating value in auto finance with vLendRight | Kevin Moseri,Buscas on-line por carros têm expansão de 43% no 1º trimestre,Honda e Softbank desenvolverão sistema de IA para ajudar os motoristas,"Consórcio: Venda de novas cotas cai 13,5% no 1º trimestre",Aplicativo gratuito permite gerenciar Consórcio Honda diretamente do celular - Notícias - Auto Estrada,Apple and Google Are Teaming Up to Kill Robocalls Forever
"Welcome to GoogleBank, Facebook Bank, Amazon Bank, and Apple Bank - Enrique Dans",JPMorgan is Quietly Developing a Private Ethereum Blockchain - CoinDesk,Banking Needs a Customer Experience Wake-Up Call,"No, Apple isn't the next BlackBerry - it's the next Microsoft",XP quer ter banco no Brasil e vai abrir escritório em Genebra este mês,Unilever Buys Dollar Shave Club for $1 Billion
Chip Pro sequel to crowdsourced $9 computer sets its sights on gadget makers,"Building A Modern, Scalable Backend: Modernizing Monolithic Applications",Vendas da Netshoes crescem 267% em dispositivos móveis no 1º semestre - 24Brasil,Kickstarter 3D printer will print circuit boards as part of your designs,Criador do Ubuntu diz que o sistema soluciona o problema de segurança na Internet das Coisas,"Conheça Ember, a impressora 3D com hardware e software aberto da Autodesk"
A publicidade sem ROI acaba de morrer: adapte-se ou junte-se a ela - Meio & Mensagem,Google lança novos recursos para o Analytics,Que novas oportunidades poderemos criar com Blockchain? - CIO,De piada sobre TPM a servir cafezinho: como lidar com machismo no trabalho?,The next AI is no AI,Tendências do Marketing de Conteúdo 2016
Não ao preconceito! ONU celebra Dia da Visibilidade de Mulheres Lésbicas e Bissexuais,Conheça 20 atletas LGBT que vão competir nas Olimpíadas do Rio,Why Is Learning Drupal Hard?,Workplace diversity in Brazil: there's still a long way to go,"Mesmo sem apoio, Parada LGBT de Campinas arrasta multidão pelas ruas",Este site quer conectar profissionais trans e travestis a empresas que não têm preconceito
"Applying the Linus Torvalds ""Good Taste"" Coding Requirement",Anti-If: The missing patterns,Four Node.js Gotchas that Operations Teams Should Know about - The New Stack,Mobify report reveals impact of mobile website speed,Ubuntu recebe suporte ao React Native e aplicativos de Android e iOS poderão chegar ao sistema,"Why Performance Matters, Part 1: The Perception Of Time - Smashing Magazine"
Today in Apple history: iBook ushers in a Wi-Fi revolution,Joel on Software,"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts",Ordering coffee in Italy: the 10 commandments,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday,To bot or not to bot
Designer Creates 13 Perfect Circles to Draw Almost Any Animal,"Margaret Gould Stewart: How giant websites design for you (and a billion others, too)",A identidade visual de Budapeste para as Olimpíadas de 2024,"E quando o cliente diz ""Não gostei""?",Branding é problema seu. E meu.,A nova marca da HP foi criada (e rejeitada) 5 anos atrás
"Forget The Internet Of Things, There Is A Digital Revolution Taking Place In Our Shopping Malls",Mercado de Cosméticos no Brasil - Setor que não conhece crise!,Portal Abrasce - Conhecendo o frequentador de shopping center,As compras e os hábitos dos brasileiros no shopping | EXAME.com,MOBILE TIME - Shoppings do Rio testarão solução de marketing com beacons,Visa e Swatch lançam relógio para pagamentos contactless no Brasil - Startupi
"TRF mantém resolução que proíbe ""cura gay"" - Jornal Opção",YouTube chama seus criadores de conteúdo para a campanha mundial #OrgulhoDeSer,"Para rebater Estatuto da Família, campanha muda significado de 'família' no Dicionário Houaiss",The Genderbread Person v3 | It's Pronounced Metrosexual,Netflix emociona com vídeo destacando personagens LGBT,Workplace diversity in Brazil: there's still a long way to go
Como a Netshoes se preparou para a Black Friday deste ano,"Fundador da Netshoes fala ao E-Commerce Brasil sobre inovação, gestão de pessoas e futuro",Java 8 Best Practices Cheat Sheet,Microservices - When to React Vs. Orchestrate - Capital One DevExchange,The future of the shopping mall,"Como o e-commerce brasileiro pode, enfim, começar a lucrar"
Como o layout de aplicativos influencia o usuário e por que você deveria testá-lo - One Day Testing Blog,My Approach to Mobile Accessibility Testing - Ministry of Testing,Top 5 Android Testing Frameworks with Examples,The Rise And Growth of Ethereum Gets Mainstream Coverage,Resenha - A Chegada,3 noções básicas essenciais para a criação de uma suíte de automação para aplicativos web
Road to Polymer 2.0,Gmail e Inbox by Gmail terão suporte a e-mails com design responsivo | Google Discovery,Aplicação de visão computacional com OpenCV,React Native v0.32.0-rc.0 released,"Walgreens now lets you digitally clip coupons from its iOS app, redeem in-store through Apple Pay with loyalty card",WebAIM: WebAIM's WCAG 2.0 Checklist - for HTML documents
